platform_id,currency_id,name,type,country_id
0B90A51B-7602-FE42-94E2-86C135B32AE5,"13fb3c72-4227-4fa2-849a-b597a03d4494
1a77831e-192c-4408-9246-336e8a7af12e",Bondster,Platform,d4b80f29-1865-44d0-9c6a-73a18cad565d
11A840C7-427F-7E4A-883E-D5E5013CAD5D,d5731592-e36d-44ae-a99d-e99121bef77f,Blend,Platform,61c2888b-8b6a-4536-830f-3a14e86a9cd5
36974DAE-B423-A64D-89EE-282F99A8287D,67f1d878-5314-49d7-8510-0606d204b475,Acredius,Platform,1311bf44-b096-4d23-9021-47e4e315da24
106D1145-F0AE-D547-ABF0-55F053DE559F,13fb3c72-4227-4fa2-849a-b597a03d4494,Profitus,Platform,c66b9b04-a505-4964-8a5d-34c571a8e149
60AA65D7-7002-45C2-894D-1AFD4CB49407,67f1d878-5314-49d7-8510-0606d204b475,3CF,Platform,1311bf44-b096-4d23-9021-47e4e315da24
06CAEF9D-FD4E-4456-831C-ADDEDEDBE81F,13fb3c72-4227-4fa2-849a-b597a03d4494,Fundeen,Platform,7bdb6912-5f76-4d31-b244-862881861ef6
8A0D8A23-37BA-5448-BB09-3E805C7CE9DF,d5731592-e36d-44ae-a99d-e99121bef77f,BridgeCrowd,Platform,61c2888b-8b6a-4536-830f-3a14e86a9cd5
AB004784-2CD3-EC47-9E34-6A4EC81B615E,d5731592-e36d-44ae-a99d-e99121bef77f,CapitalRise,Platform,61c2888b-8b6a-4536-830f-3a14e86a9cd5
FABC0020-E4A9-1046-B13F-2AB4DFC5BC52,13fb3c72-4227-4fa2-849a-b597a03d4494,Lendahand,Platform,547a277e-1109-488a-beab-4d44adfc2db8
7A9AD343-4C03-BA40-A38E-5B92F597AFA4,"13fb3c72-4227-4fa2-849a-b597a03d4494
973ed305-2840-4993-8c59-d4f8a78c02b1",MiCrowd,Platform,7bdb6912-5f76-4d31-b244-862881861ef6
71DA5147-366B-41D0-BCEC-1F3A23B514C6,13fb3c72-4227-4fa2-849a-b597a03d4494,Quanloop,Platform,93fa14ce-e7cb-4014-b2d2-5b4cea619a3a
529C1EF2-6355-8C49-BC75-3F1F525FB0CD,d5731592-e36d-44ae-a99d-e99121bef77f,Loanpad,Platform,61c2888b-8b6a-4536-830f-3a14e86a9cd5
